# Units
# dimensionless	code_time	dimensionless	1/code_time	1/code_time	1/code_time
4.900000000000000000e+01	5.644045114588955414e+01	3.942538865830231276e-01	3.885176579730549973e-08	2.806758958885988982e-09	7.765843153987727208e-10
5.000000000000000000e+01	5.948359436103864795e+01	4.155111766231057713e-01	5.164239573015818676e-08	2.979050694476776271e-09	1.000089250815198463e-09
5.100000000000000000e+01	6.263128838209805593e+01	4.374987861545932555e-01	6.650836595561410367e-08	3.247076072471851404e-09	1.267291865666402768e-09
5.200000000000000000e+01	6.588841658101716803e+01	4.602508270304490612e-01	8.616273373169481301e-08	3.415504654408468460e-09	1.561131881998359032e-09
5.300000000000000000e+01	6.911071193234272414e+01	4.827595497671741676e-01	1.089308601827003674e-07	3.405835445401933442e-09	1.877850676743864950e-09
5.400000000000000000e+01	7.233294027166003559e+01	5.052678044044394134e-01	1.388569831884715559e-07	3.885331016742123367e-09	2.281548863567590829e-09
5.500000000000000000e+01	7.593038283527836541e+01	5.303970456431323921e-01	1.835050933151008564e-07	4.211950063488804195e-09	2.885703292638329008e-09
5.600000000000000000e+01	7.915259156416045982e+01	5.529051632954843365e-01	2.185289637970311455e-07	4.794914943345229676e-09	3.527978701030925176e-09
5.700000000000000000e+01	8.237485357543879161e+01	5.754136531417394229e-01	2.676139574010364901e-07	5.760661794461373974e-09	4.278602838883240749e-09
5.800000000000000000e+01	8.635744283370182472e+01	6.032332623379063063e-01	3.405420757095699956e-07	6.782858258868562080e-09	5.605765692686714683e-09
5.900000000000000000e+01	8.957962078010272933e+01	6.257411649651726249e-01	3.938211207005843405e-07	7.519568161220682827e-09	6.803437614724938515e-09
6.000000000000000000e+01	9.280191401630237635e+01	6.482498729270936844e-01	4.540764502890687209e-07	8.609395978344583652e-09	8.446823659699642617e-09
6.100000000000000000e+01	9.707739165673487491e+01	6.781153974315357047e-01	5.376837085199585186e-07	1.011366829745365079e-08	1.100323301849925332e-08
6.200000000000000000e+01	1.002996913822229459e+02	7.006241507231294463e-01	5.956162428464922315e-07	1.134027431997626196e-08	1.297607624996111938e-08
6.300000000000000000e+01	1.035218976761192948e+02	7.231322513663581697e-01	6.718881623018563038e-07	1.265256068846775045e-08	1.515891837912952913e-08
6.400000000000000000e+01	1.080773420463856382e+02	7.549534294687068048e-01	7.894703002986126421e-07	1.515672319143207887e-08	1.870259817157747503e-08
6.500000000000000000e+01	1.112996351476524239e+02	7.774621364880802687e-01	8.935971265628635164e-07	1.738372731597633124e-08	2.149355930337545333e-08
6.600000000000000000e+01	1.145220496121196589e+02	7.999716912666848811e-01	9.799628175639266334e-07	1.971323926336442321e-08	2.436541301579344159e-08
6.700000000000000000e+01	1.193626889283711137e+02	8.337850436625703354e-01	1.163614744212482958e-06	2.413004913146131741e-08	2.874866862923425538e-08
6.800000000000000000e+01	1.225850211826076190e+02	8.562940241774630312e-01	1.305313888795363939e-06	2.771512033597763244e-08	3.289699916668134999e-08
6.900000000000000000e+01	1.258073361196042441e+02	8.788028837261162574e-01	1.465165720013176361e-06	3.163076009942821150e-08	3.674167906956249407e-08
7.000000000000000000e+01	1.270637828080899823e+02	8.875795497548737423e-01	1.512697959893563267e-06	3.727160864818650212e-08	3.841360824203964798e-08
7.100000000000000000e+01	1.293425437332568890e+02	9.034973947242260772e-01	1.648178898044336092e-06	4.167606802000951616e-08	4.088806048099489976e-08
7.200000000000000000e+01	1.316212286283984554e+02	9.194147086004992309e-01	1.778649436269997020e-06	4.604701034899033125e-08	4.368153281385766775e-08
7.300000000000000000e+01	1.339000767771028677e+02	9.353331628530512365e-01	1.929160426257555940e-06	5.081268003302994094e-08	4.624302794989746670e-08
7.400000000000000000e+01	1.361785343151194922e+02	9.512488885699755814e-01	2.055901677707553013e-06	5.586691818951611801e-08	4.906972637850955069e-08
7.500000000000000000e+01	1.384573343591178514e+02	9.671670067963806794e-01	2.211232349743517507e-06	6.085753912580499611e-08	5.236185567227355896e-08
7.600000000000000000e+01	1.407359340430099905e+02	9.830837254459047214e-01	2.405397809188413452e-06	6.680004144212757992e-08	5.692560813433876744e-08
7.700000000000000000e+01	1.430145109340929537e+02	9.990002848806557312e-01	2.530692042216756056e-06	7.166186740778039217e-08	6.017645399751701700e-08
7.800000000000000000e+01	1.452932070452167466e+02	1.014917677104009819e+00	2.732636125193339891e-06	7.785864083427714752e-08	6.487638650177124235e-08
7.900000000000000000e+01	1.475720050056074797e+02	1.030835780775775756e+00	2.886768227728110456e-06	8.333783187894806073e-08	6.958360629432147275e-08
8.000000000000000000e+01	1.498506863856689222e+02	1.046753070098134675e+00	3.083326012796300440e-06	9.026026860096175810e-08	7.584040633966692181e-08
